model,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,turnover,net_return_after_costs
Fixed-weight model,12.76%,12.34%,1.034,-15.19%,0.840,46.05%,12.15%
Rolling IC (No shrinkage),11.84%,12.80%,0.925,-21.43%,0.552,54.14%,11.12%
Rolling IC model,11.37%,12.44%,0.914,-21.42%,0.531,50.29%,10.71%
Rolling IC (60/40 shrinkage),10.33%,12.63%,0.818,-21.42%,0.482,47.98%,9.70%
,12.99%,14.19%,0.916,-23.60%,0.550,0.58%,12.98%
