Metric,Mean,Median,10th percentile,90th percentile,Minimum,Maximum
Top-1 persistence,0.1185,0.0000,0.0000,1.0000,0.0000,1.0000
Top-3 retention rate,0.3151,0.3333,0.0000,0.6667,0.0000,1.0000
Bottom-3 retention rate,0.3333,0.3333,0.0000,0.6667,0.0000,1.0000
Top-3 membership turnover,0.6849,0.6667,0.3333,1.0000,0.0000,1.0000
Rank autocorrelation,-0.0110,-0.0333,-0.5833,0.5400,-0.9833,0.9167
