Date,momentum_score_z_weight,liquidity_1m_z_weight,downside_risk_score_z_weight,volatility_score_z_weight
2010-01-31,0.35,0.15,0.25,0.25
2010-02-28,0.35,0.15,0.25,0.25
2010-03-31,0.35,0.15,0.25,0.25
2010-04-30,0.35,0.15,0.25,0.25
2010-05-31,0.35,0.15,0.25,0.25
2010-06-30,0.35,0.15,0.25,0.25
2010-07-31,0.35,0.15,0.25,0.25
2010-08-31,0.35,0.15,0.25,0.25
2010-09-30,0.35,0.15,0.25,0.25
2010-10-31,0.35,0.15,0.25,0.25
2010-11-30,0.35,0.15,0.25,0.25
2010-12-31,0.35,0.15,0.25,0.25
2011-01-31,0.35,0.15,0.25,0.25
2011-02-28,0.35,0.15,0.25,0.25
2011-03-31,0.35,0.15,0.25,0.25
2011-04-30,0.35,0.15,0.25,0.25
2011-05-31,0.35,0.15,0.25,0.25
2011-06-30,0.35,0.15,0.25,0.25
2011-07-31,0.35538461538461535,0.06,0.3615384615384616,0.223076923076923
2011-08-31,0.3917482517482518,0.06,0.30559440559440565,0.24265734265734262
2011-09-30,0.36189349112426034,0.06,0.30414201183431955,0.2739644970414201
2011-10-31,0.32387096774193547,0.06,0.33870967741935487,0.2774193548387096
2011-11-30,0.2935714285714286,0.06,0.3375,0.30892857142857144
2011-12-31,0.24846153846153846,0.06,0.35153846153846147,0.33999999999999997
2012-01-31,0.1964356435643564,0.06,0.3702970297029703,0.37326732673267327
2012-02-29,0.14173410404624276,0.06,0.40867052023121386,0.3895953757225433
2012-03-31,0.17606557377049178,0.06,0.38032786885245895,0.3836065573770492
2012-04-30,0.14189873417721516,0.06,0.3981012658227848,0.3999999999999999
2012-05-31,0.17343108504398824,0.06,0.3885630498533724,0.3780058651026392
2012-06-30,0.13999999999999999,0.06,0.4041666666666667,0.39583333333333326
2012-07-31,0.1601834862385321,0.06,0.40091743119266054,0.37889908256880733
2012-08-31,0.13999999999999999,0.06,0.4343511450381681,0.36564885496183197
2012-09-30,0.13999999999999999,0.06,0.7,0.1
2012-10-31,0.13999999999999999,0.06,0.4096774193548388,0.39032258064516123
2012-11-30,0.13999999999999999,0.06,0.4310344827586208,0.36896551724137916
2012-12-31,0.35,0.15,0.25,0.25
2013-01-31,0.35,0.15,0.25,0.25
2013-02-28,0.13999999999999999,0.06,0.3946428571428572,0.40535714285714286
2013-03-31,0.13999999999999999,0.06,0.40452261306532666,0.3954773869346734
2013-04-30,0.2088524590163934,0.06,0.3581967213114754,0.37295081967213106
2013-05-31,0.13999999999999999,0.14181818181818218,0.20909090909090883,0.509090909090909
2013-06-30,0.1845945945945946,0.1005405405405406,0.3716216216216216,0.3432432432432432
2013-07-31,0.29681818181818187,0.29863636363636376,0.24318181818181808,0.1613636363636363
2013-08-31,0.2678688524590165,0.06,0.2918032786885245,0.38032786885245895
2013-09-30,0.3491428571428572,0.06,0.2714285714285714,0.31942857142857145
2013-10-31,0.3514942528735633,0.06,0.28390804597701147,0.3045977011494253
2013-11-30,0.35506024096385547,0.06,0.3060240963855422,0.2789156626506024
2013-12-31,0.30726342710997445,0.06,0.33017902813299227,0.3025575447570333
2014-01-31,0.2639669421487603,0.06,0.3528925619834711,0.3231404958677686
2014-02-28,0.3652707581227437,0.06,0.30577617328519857,0.26895306859205775
2014-03-31,0.4180487804878049,0.06,0.27195121951219514,0.24999999999999997
2014-04-30,0.49121951219512194,0.06,0.23170731707317074,0.2170731707317073
2014-05-31,0.3841379310344827,0.06,0.3027586206896552,0.25310344827586206
2014-06-30,0.7057142857142857,0.06,0.10000000000000006,0.13428571428571426
2014-07-31,0.42181818181818176,0.06,0.23636363636363641,0.2818181818181818
2014-08-31,0.5171428571428571,0.06,0.32285714285714295,0.1
2014-09-30,0.13999999999999999,0.06,0.4161290322580645,0.3838709677419354
2014-10-31,0.13999999999999999,0.06,0.7,0.1
2014-11-30,0.13999999999999999,0.06,0.4409090909090909,0.359090909090909
2014-12-31,0.13999999999999999,0.06,0.28260869565217395,0.5173913043478261
2015-01-31,0.13999999999999999,0.06,0.3172413793103448,0.48275862068965514
2015-02-28,0.13999999999999999,0.06,0.15,0.6499999999999999
2015-03-31,0.13999999999999999,0.06,0.32784810126582276,0.4721518987341772
2015-04-30,0.35,0.15,0.25,0.25
2015-05-31,0.13999999999999999,0.06,0.26249999999999996,0.5375000000000001
2015-06-30,0.13999999999999999,0.06,0.37768595041322306,0.4223140495867769
2015-07-31,0.18485981308411215,0.07401869158878509,0.3495327102803738,0.3915887850467289
2015-08-31,0.13999999999999999,0.11581395348837215,0.3686046511627906,0.37558139534883717
2015-09-30,0.24169491525423728,0.10830508474576274,0.31864406779661014,0.33135593220338977
2015-10-31,0.13999999999999999,0.11042016806722693,0.3521008403361344,0.3974789915966386
2015-11-30,0.13999999999999999,0.6260377358490565,0.1,0.13396226415094337
2015-12-31,0.13999999999999999,0.09636363636363643,0.3363636363636363,0.42727272727272714
2016-01-31,0.13999999999999999,0.15120000000000003,0.33519999999999994,0.37359999999999993
2016-02-29,0.13999999999999999,0.06,0.44125000000000003,0.35875
2016-03-31,0.13999999999999999,0.06,0.4441176470588236,0.3558823529411764
