annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,turnover,net_return_after_costs,average_transaction_cost_rate,framework,model
0.0984623076807909,0.14498320728262204,0.6791290489860253,-0.491245886611101,0.20043385678003534,0.003401360544217687,0.09839104609348759,5.333057086512037e-06,baseline,equal_weight_benchmark
0.12871052125859506,0.14436690405026037,0.8915514404450022,-0.38358821873750804,0.3355434681550335,0.3934240362811791,0.12072977841273302,0.0005955486821800443,baseline,fixed_weight
0.1261832764155626,0.14783043726533535,0.853567632956946,-0.4068671804459365,0.31013382862992933,0.4682539682539682,0.11681138842702898,0.0007009811780898591,baseline,rolling_ic
0.13360291520420597,0.14656259481344128,0.9115758040055745,-0.4088535920110159,0.3267744684522822,0.5929705215419501,0.12137044978538691,0.0009162626426380796,baseline,ridge_ic
0.1296178738053677,0.1449472832269387,0.8942414850399762,-0.4054992124504945,0.31965012465022274,0.5929705215419501,0.1175649970334447,0.0009070468177338719,baseline,lasso_ic
0.1324428708538805,0.144799151880474,0.914666067679781,-0.39835803695470606,0.3324719437477785,0.6043083900226757,0.1198299322615326,0.0009445526454760542,baseline,elastic_net_ic
0.1189169755655366,0.14838197555605284,0.8014246684605871,-0.4144834101614707,0.28690406576034005,0.5204081632653061,0.10835921834702633,0.0007965662046326065,baseline,random_forest_ic
0.12204593513581519,0.14788946444489579,0.8252510453933654,-0.4054992124504945,0.30097699672034556,0.6133786848072562,0.1099132473351736,0.0009146188442409522,baseline,xgboost_ic
0.0984623076807909,0.14498320728262204,0.6791290489860253,-0.491245886611101,0.20043385678003534,0.003401360544217687,0.09839104609348759,5.333057086512037e-06,pta,equal_weight_benchmark
0.12871052125859506,0.14436690405026037,0.8915514404450022,-0.38358821873750804,0.3355434681550335,0.3934240362811791,0.12072977841273302,0.0005955486821800443,pta,fixed_weight
0.12178749997103333,0.14782088940029747,0.8238855852181624,-0.4081700614235845,0.29837440684961597,0.46598639455782315,0.11256956919762584,0.0006915760964369248,pta,rolling_ic
0.13161228605040476,0.14637654965788482,0.8991350483257906,-0.3996195156301714,0.3293439907279343,0.5702947845804988,0.12002273350134263,0.0008694993963897139,pta,ridge_ic
0.12866825126438353,0.14567269998417448,0.8832694889183884,-0.39621273856430483,0.32474536717476293,0.5680272108843537,0.1172632770166886,0.0008594174642834378,pta,lasso_ic
0.129462019994669,0.14487280382619236,0.8936254188190347,-0.39621273856430483,0.3267487574068936,0.5816326530612245,0.11774352566002788,0.0008827474832805547,pta,elastic_net_ic
0.11040881414398651,0.14865068190042077,0.7427400448653709,-0.4144834101614707,0.2663769198892048,0.5136054421768707,0.10008342774065881,0.000784637184300992,pta,random_forest_ic
0.12188050337972256,0.14749543589936448,0.8263340667902505,-0.3962127385643047,0.30761379308843584,0.5793650793650793,0.11041465299105968,0.0008638606763403297,pta,xgboost_ic
0.0984623076807909,0.14498320728262204,0.6791290489860253,-0.491245886611101,0.20043385678003534,0.003401360544217687,0.09839104609348759,5.333057086512037e-06,holding_buffer_top4,equal_weight_benchmark
0.1310297414117818,0.1422428184016662,0.9211694684070388,-0.3837429153825179,0.3414518839550962,0.19160997732426302,0.1271455952707925,0.00028688927087177593,holding_buffer_top4,fixed_weight
0.1297563937290851,0.14672030335709887,0.884379262856854,-0.4070160349292856,0.3187992181969656,0.25736961451247165,0.12448595963173692,0.0003914549378843557,holding_buffer_top4,rolling_ic
0.13030525252753034,0.14686245803520478,0.8872604630946224,-0.3808060582338165,0.34218271928731336,0.3208616780045351,0.12377042695392304,0.0004885809816132098,holding_buffer_top4,ridge_ic
0.1275428925423745,0.14588581694956193,0.8742651973253215,-0.3769864508902412,0.33832221885212616,0.3231292517006803,0.12119251690468169,0.0004762819560152596,holding_buffer_top4,lasso_ic
0.12796329129946926,0.14496354601991818,0.8827273808677869,-0.3769864508902412,0.339437374996603,0.33219954648526073,0.12135410852750028,0.0004955895421209876,holding_buffer_top4,elastic_net_ic
0.12276213112126144,0.14798153742890344,0.8295773462972807,-0.4098901961649166,0.29950004237688305,0.25736961451247165,0.11727548812818478,0.0004138668308450241,holding_buffer_top4,random_forest_ic
0.11960301612809454,0.1468613682821289,0.8143939929684603,-0.3769864508902413,0.3172607817751961,0.3390022675736961,0.11284142851881418,0.0005118281149570876,holding_buffer_top4,xgboost_ic
0.0984623076807909,0.14498320728262204,0.6791290489860253,-0.491245886611101,0.20043385678003534,0.003401360544217687,0.09839104609348759,5.333057086512037e-06,holding_buffer_top5,equal_weight_benchmark
0.1330937996097492,0.13872378351732356,0.9594158711301923,-0.370405155492189,0.3593195117192581,0.10317460317460315,0.13093907364428015,0.00015892520671575205,holding_buffer_top5,fixed_weight
0.12547026931297234,0.14337108314807212,0.8751434847108464,-0.4005200137589774,0.3132684135691584,0.14625850340136054,0.12239037313400725,0.000228594411690296,holding_buffer_top5,rolling_ic
