transaction_cost_bps,fixed_weight_net_annualized_return,xgboost_ic_net_annualized_return,xgboost_ic_minus_fixed_weight
0,0.1275967672972258,0.12921349669811222,0.0016167294008864186
1,0.12698119304333133,0.12825540326129303,0.001274210217961702
2,0.1263659053689985,0.12729800826499393,0.0009321028959954347
3,0.12575090416297674,0.12634131127919046,0.0005904071162137203
4,0.12513618931405057,0.1253853118740773,0.0002491225600267377
5,0.12452176071103893,0.12443000962006678,-9.175109097214751e-05
6,0.12390761824279561,0.12347540408778923,-0.00043221415500638294
7,0.12329376179820972,0.12252149484809371,-0.0007722669501160073
8,0.12268019126620433,0.12156828147204668,-0.0011119097941576506
9,0.12206690653573826,0.12061576353093328,-0.0014511430048049778
10,0.12145390749580387,0.11966394059625562,-0.0017899668995482454
11,0.12084119403542926,0.11871281223973407,-0.002128381795695189
12,0.12022876604367716,0.11776237803330636,-0.0024663880103708014
13,0.11961662340964452,0.11681263754912807,-0.0028039858605164447
14,0.11900476602246357,0.11586359035957217,-0.0031411756628914045
15,0.11839319377130098,0.11491523603722875,-0.0034779577340722234
16,0.11778190654535825,0.11396757415490555,-0.0038143323904527016
17,0.117170904233872,0.11302060428562744,-0.004150299948244562
18,0.11656018672611212,0.11207432600263645,-0.0044858607234756764
19,0.11594975391138518,0.11112873887939134,-0.004821015031993836
20,0.11533960567903101,0.11018384248956803,-0.005155763189462981
21,0.11472974191842433,0.10923963640705958,-0.005490105511364751
22,0.11412016251897561,0.10829612020597512,-0.005824042313000488
23,0.11351086737012794,0.10735329346064093,-0.006157573909487013
24,0.11290185636136152,0.10641115574560023,-0.006490700615761291
25,0.11229312938218872,0.10546970663561184,-0.006823422746576879
26,0.11168468632215856,0.10452894570565197,-0.0071557406165065895
27,0.11107652707085403,0.10358887253091265,-0.00748765453994138
28,0.11046865151789187,0.10264948668680174,-0.00781916483109013
29,0.1098610595529248,0.10171078774894426,-0.008150271803980536
30,0.10925375106563928,0.1007727752931804,-0.008480975772458876
31,0.10864672594575642,0.09983544889556706,-0.008811277050189359
32,0.10803998408303239,0.09889880813237606,-0.009141175950656333
33,0.10743352536725737,0.09796285258009618,-0.009470672787161183
34,0.10682734968825636,0.09702758181543114,-0.009799767872825216
35,0.10622145693588902,0.0960929954153007,-0.010128461520588328
36,0.10561584700004967,0.09515909295683955,-0.010456754043210115
37,0.10501051977066678,0.09422587401739868,-0.010784645753268096
38,0.10440547513770371,0.09329333817454377,-0.011112136963159935
39,0.103800712991158,0.09236148500605634,-0.011439227985101663
40,0.1031962332210623,0.09143031408993241,-0.011765919131129898
41,0.10259203571748277,0.0904998250043838,-0.012092210713098961
42,0.1019881203705213,0.08957001732783687,-0.012418103042684425
43,0.10138448707031333,0.0886408906389331,-0.012743596431380233
44,0.1007811357070294,0.08771244451652871,-0.013068691190500692
45,0.10017806617087399,0.08678467853969485,-0.013393387631179143
46,0.09957527835208624,0.08585759228771739,-0.01371768606436885
47,0.09897277214093991,0.08493118534009647,-0.014041586800843442
48,0.09837054742774343,0.08400545727654696,-0.014365090151196469
49,0.09776860410283916,0.08308040767699798,-0.014688196425841182
50,0.09716694205660392,0.08215603612159317,-0.015010905935010754
