Date,Close,liquidity_1m,downside_dev_6m,volatility_3m,momentum_3m,momentum_6m,symbol,downside_risk_score,volatility_score,momentum_3m_z,momentum_6m_z,liquidity_1m_z,downside_risk_score_z,volatility_score_z,spy_close,spy_return_1m,spy_drawdown,vix_close,vix_change_1m,vix_regime,next_month_return,momentum_score_z,fixed_weight_score,momentum_score_z_weight,liquidity_1m_z_weight,downside_risk_score_z_weight,volatility_score_z_weight,rolling_ic_score,portfolio_weight,weighted_return
2010-07-31,17.650972366333008,18.732779696119117,0.0064451357194838,0.0113394415200889,-0.016518718912161,0.0415539156106812,XLP,-0.0064451357194838,-0.0113394415200889,1.2170661433208163,-0.0108200573318127,-1.0659899008561478,1.5589262996922648,1.4387623151419988,83.24072265625,0.0683006665540648,-0.0674641243202476,23.5,-0.3196294332049177,high_vix,-0.018532248030703524,0.6031230429945018,0.8006167336282194,0.35,0.15,0.25,0.25,0.8006167336282194,0.3333333333333333,-0.0061774160102345075
2010-07-31,8.852800369262695,18.74696950020479,0.0079126072253016,0.01366644107589,0.0082244039416925,0.0485456040777778,XLU,-0.0079126072253016,-0.01366644107589,1.9156308117628509,0.1126309375649358,-1.0434187926896004,0.9261504797942652,0.887332075591351,83.24072265625,0.0683006665540648,-0.0674641243202476,23.5,-0.3196294332049177,high_vix,0.014487816974859236,1.0141308746638933,0.6518036260753266,0.35,0.15,0.25,0.25,0.6518036260753266,0.3333333333333333,0.004829272324953078
2010-07-31,21.861297607421875,19.089067922930116,0.0075576512120855,0.0115219327090159,-0.0701033483891528,-0.0789215193466311,XLV,-0.0075576512120855,-0.0115219327090159,-0.2957715508247376,-2.1380333014703643,-0.4992576149652422,1.0792080222406226,1.395517287537666,83.24072265625,0.0683006665540648,-0.0674641243202476,23.5,-0.3196294332049177,high_vix,-0.016450821594441778,-1.216902426147551,0.11787683604814303,0.35,0.15,0.25,0.25,0.11787683604814303,0.3333333333333333,-0.005483607198147259
2010-08-31,8.981058120727539,18.813669637370666,0.0078391372558764,0.011655733267163,0.0825790964423485,0.0779734974333614,XLU,-0.0078391372558764,-0.011655733267163,2.0910302751910432,1.9990442848872896,-0.8863963594875358,1.0367119851952291,0.8048115444624275,79.49649810791016,-0.0449806828780422,-0.1094102248165959,26.049999237060547,0.1085106058323637,high_vix,0.028948144706106405,2.0450372800391663,1.043184476504992,0.35,0.15,0.25,0.25,1.043184476504992,0.3333333333333333,0.009649381568702134
2010-08-31,17.32386016845703,18.687630918153715,0.0065302208128945,0.0090780277440525,0.0121443612186351,-0.0091387494978978,XLP,-0.0065302208128945,-0.0090780277440525,0.6327252158458706,0.3513847481159746,-1.1056714687115243,1.59192206211835,1.621968772992197,79.49649810791016,-0.0449806828780422,-0.1094102248165959,26.049999237060547,0.1085106058323637,high_vix,0.06037890528490886,0.49205498198092257,0.809841232164231,0.35,0.15,0.25,0.25,0.809841232164231,0.3333333333333333,0.020126301761636285
2010-08-31,21.50166130065918,18.95170468543384,0.0079339176340833,0.0104638094603837,-0.0217243155905101,-0.0975361585932242,XLV,-0.0079339176340833,-0.0104638094603837,-0.0685035541243558,-1.3205826187311027,-0.6462507087792516,0.9965084860664868,1.1826627558727862,79.49649810791016,-0.0449806828780422,-0.1094102248165959,26.049999237060547,0.1085106058323637,high_vix,0.09063313138585327,-0.6945430864277292,0.20476512391822532,0.35,0.15,0.25,0.25,0.20476512391822532,0.3333333333333333,0.03021104379528442
2010-09-30,18.369855880737305,18.62752427470364,0.0065366587803446,0.0074648638340013,0.1011302279732109,0.0125423224533329,XLP,-0.0065366587803446,-0.0074648638340013,-0.5027989160262138,0.3347592490207449,-0.9953475213219,1.5633478326173014,1.7041644401158391,86.61579132080078,0.0895548028194492,-0.0296536331070284,23.700000762939453,-0.090211076504671,high_vix,0.03192274606366152,-0.08401983350273448,0.638168998259043,0.35,0.15,0.25,0.25,0.638168998259043,0.3333333333333333,0.01064091535455384
2010-09-30,9.241043090820312,18.59326833710669,0.0078552336746889,0.0098796292783546,0.1217938076109754,0.0801171305033112,XLU,-0.0078552336746889,-0.0098796292783546,0.0086710523880238,1.7385890348154307,-1.047178173455635,1.018816803867902,0.8593948264644208,86.61579132080078,0.0895548028194492,-0.0296536331070284,23.700000762939453,-0.090211076504671,high_vix,0.01083495288307379,0.8736300436017272,0.61824669682534,0.35,0.15,0.25,0.25,0.61824669682534,0.3333333333333333,0.0036116509610245964
2010-09-30,9.37425422668457,19.07249668828197,0.009674124327807,0.0113384739906444,0.1325104896667939,0.0036770929931222,XLK,-0.009674124327807,-0.0113384739906444,0.2739329832190879,0.1505889415750492,-0.3220858331251577,0.2676706969813551,0.3490397992876586,86.61579132080078,0.0895548028194492,-0.0296536331070284,23.700000762939453,-0.090211076504671,high_vix,0.05777549035984908,0.21226096239706854,0.18015608593745375,0.35,0.15,0.25,0.25,0.18015608593745375,0.3333333333333333,0.01925849678661636
2010-10-31,18.95627212524414,18.43035810250193,0.0064099268371024,0.0061398760684173,0.0739505865071108,0.0562102986430494,XLP,-0.0064099268371024,-0.0061398760684173,-0.2016982774113144,0.7929094379808416,-1.1047538623337152,1.5676334393637974,1.6438183574492808,89.92472839355469,0.0382024688835147,0.0,21.200000762939453,-0.1054852286717787,high_vix,-0.01564122156299319,0.2956055802847636,0.7406118229528795,0.35,0.15,0.25,0.25,0.7406118229528795,0.3333333333333333,-0.00521374052099773
2010-10-31,9.341169357299805,18.31878882334952,0.007617378088266,0.0073060625932666,0.055165480714187,0.0638435878529106,XLU,-0.007617378088266,-0.0073060625932666,-0.6585952943867843,0.9492612637518024,-1.253693237957254,1.041434833890774,1.1981451633443514,89.92472839355469,0.0382024688835147,0.0,21.200000762939453,-0.1054852286717787,high_vix,-0.030264649268406885,0.14533298468250905,0.42270755825407136,0.35,0.15,0.25,0.25,0.42270755825407136,0.3333333333333333,-0.010088216422802294
2010-10-31,9.91585636138916,19.25044492852202,0.009421173483729,0.0093983641270761,0.1148725676598967,0.0485021259903262,XLK,-0.009421173483729,-0.0093983641270761,0.7936185083199286,0.6350237828619266,-0.0099792007741987,0.2553537223455535,0.3985451956427804,89.92472839355469,0.0382024688835147,0.0,21.200000762939453,-0.1054852286717787,high_vix,-0.016426883733625774,0.7143211455909276,0.4119902503377783,0.35,0.15,0.25,0.25,0.4119902503377783,0.3333333333333333,-0.0054756279112085915
